id,title_id,title,question,type
0,1,当你遇到新朋友时，你,说话的时间与聆听的时间相当。,E
1,1,当你遇到新朋友时，你,说话的时间与聆听的时间相当。,I
2,2,下列哪一种是你的一般生活取向?,只管做吧。,S
3,2,下列哪一种是你的一般生活取向?,找出多种不同选择。,N
4,3,你喜欢自己的哪种性格？,冷静而理性。,T
5,3,你喜欢自己的哪种性格？,热情而体谅。,F
6,4,你擅长,在有需要时间时同时协调进行多项工作。,J
7,4,你擅长,专注在某一项工作上，直至把它完成为止。,P
8,5,你参与社交聚会时,总是能认识新朋友。,E
9,5,你参与社交聚会时,只跟几个亲密挚友呆在一起。,I
10,6,当你尝试了解某些事情时，一般你会,先要了解细节。,S
11,6,当你尝试了解某些事情时，一般你会,先了解整体情况，细节容后再谈。,N
12,7,你对下列哪方面较感兴趣？,知道别人的想法。,T
13,7,你对下列哪方面较感兴趣？,知道别人的感受。,F
14,8,你较喜欢下列哪个工作？,能让你迅速和即时做出反应。,J
15,8,你较喜欢下列哪个工作？,能让你定出目标，然后逐步达成目标的工作。,P
16,9,下列哪一种说法较适合你？,当我与友人尽兴后，我会感到精力充沛，并会继续追求这种欢娱。,E
17,9,下列哪一种说法较适合你？,当我与友人尽兴后，我会感到疲累，觉得需要一些空间。,I
18,10,下列哪一种说法较适合你？,我较有兴趣知道别人的经历，例如他们做过什么？认识什么人？,S
19,10,下列哪一种说法较适合你？,我较有兴趣知道别人的计划和梦想，例如他们会往哪里去？憧憬什么？,N
20,11,下列哪一种说法较适合你？,我擅长订出一些可行的计划。,T
21,11,下列哪一种说法较适合你？,我擅长促成别人同意一些计划，并衷力合作。,F
22,12,下列哪一种说法较适合你？,我会突然尝试做某些事，看看会有什么事情发生。,J
23,12,下列哪一种说法较适合你？,我尝试做任何事前，都想事先知道可能有什么事情发生。,P
