,名称,所在地,211院校,985院校,c9高校,双一流院校
0,上海中医药大学,,,,,True
1,上海交通大学,上海,True,True,True,True
2,上海体育学院,,,,,True
3,上海外国语大学,上海,True,,,True
4,上海大学,上海,True,,,True
5,上海海洋大学,,,,,True
6,上海财经大学,上海,True,,,True
7,上海音乐学院,,,,,True
8,东北农业大学,黑龙江,True,,,True
9,东北大学,辽宁,True,True,,True
10,东北师范大学,吉林,True,,,True
11,东北林业大学,黑龙江,True,,,True
12,东华大学,上海,True,,,True
13,东南大学,江苏,True,True,,True
14,中南大学,湖南,True,True,,True
15,中南财经政法大学,湖北,True,,,True
16,中国人民公安大学,,,,,True
17,中国人民大学,北京,True,True,,True
18,中国传媒大学,北京,True,,,True
19,中国农业大学,北京,True,True,,True
20,中国地质大学（北京）,北京,True,,,True
21,中国地质大学（武汉）,湖北,True,,,True
22,中国政法大学,北京,True,,,True
23,中国海洋大学,山东,True,True,,True
24,中国石油大学（北京）,北京,True,,,True
25,中国石油大学（华东）,山东,True,,,True
26,中国矿业大学,江苏,True,,,True
27,中国矿业大学（北京）,北京,True,,,True
28,中国科学技术大学,安徽,True,True,True,True
29,中国科学院大学,,,,,True
30,中国美术学院,,,,,True
31,中国药科大学,江苏,True,,,True
32,中国音乐学院,,,,,True
33,中央戏剧学院,,,,,True
34,中央民族大学,北京,True,True,,True
35,中央美术学院,,,,,True
36,中央财经大学,北京,True,,,True
37,中央音乐学院,北京,True,,,True
38,中山大学,广东,True,True,,True
39,云南大学,云南,True,,,True
40,兰州大学,甘肃,True,True,,True
41,内蒙古大学,内蒙古,True,,,True
42,北京中医药大学,北京,True,,,True
43,北京交通大学,北京,True,,,True
44,北京体育大学,北京,True,,,True
45,北京化工大学,北京,True,,,True
46,北京协和医学院,,,,,True
47,北京外国语大学,北京,True,,,True
48,北京大学,北京,True,True,True,True
49,北京工业大学,北京,True,,,True
50,北京师范大学,北京,True,True,,True
51,北京林业大学,北京,True,,,True
52,北京理工大学,北京,True,True,,True
53,北京科技大学,北京,True,,,True
54,北京航空航天大学,北京,True,True,,True
55,北京邮电大学,北京,True,,,True
56,华东师范大学,上海,True,True,,True
57,华东理工大学,上海,True,,,True
58,华中农业大学,湖北,True,,,True
59,华中师范大学,湖北,True,,,True
60,华中科技大学,湖北,True,True,,True
61,华北电力大学,北京,True,,,True
62,华南师范大学,广东,True,,,True
63,华南理工大学,广东,True,True,,True
64,南京中医药大学,,,,,True
65,南京信息工程大学,,,,,True
66,南京农业大学,江苏,True,,,True
67,南京大学,江苏,True,True,True,True
68,南京师范大学,江苏,True,,,True
69,南京林业大学,,,,,True
70,南京理工大学,江苏,True,,,True
71,南京航空航天大学,江苏,True,,,True
72,南京邮电大学,,,,,True
73,南开大学,天津,True,True,,True
74,南昌大学,江西,True,,,True
75,厦门大学,福建,True,True,,True
76,合肥工业大学,安徽,True,,,True
77,吉林大学,吉林,True,True,,True
78,同济大学,上海,True,True,,True
79,哈尔滨工业大学,黑龙江,True,True,True,True
80,哈尔滨工程大学,黑龙江,True,,,True
81,四川农业大学,四川,True,,,True
82,四川大学,四川,True,True,,True
83,国防科技大学,湖南,True,True,,True
84,复旦大学,上海,True,True,True,True
85,外交学院,,,,,True
86,大连海事大学,辽宁,True,,,True
87,大连理工大学,辽宁,True,True,,True
88,天津中医药大学,,,,,True
89,天津医科大学,天津,True,,,True
90,天津大学,天津,True,True,,True
91,天津工业大学,,,,,True
92,太原理工大学,山西,True,,,True
93,宁夏大学,宁夏,True,,,True
94,宁波大学,,,,,True
95,安徽大学,安徽,True,,,True
96,对外经济贸易大学,北京,True,,,True
97,山东大学,山东,True,True,,True
98,广州中医药大学,,,,,True
99,广西大学,广西,True,,,True
100,延边大学,吉林,True,,,True
101,成都中医药大学,,,,,True
102,成都理工大学,,,,,True
103,新疆大学,新疆,True,,,True
104,暨南大学,广东,True,,,True
105,武汉大学,湖北,True,True,,True
106,武汉理工大学,湖北,True,,,True
107,江南大学,江苏,True,,,True
108,河北工业大学,河北,True,,,True
109,河南大学,,,,,True
110,河海大学,江苏,True,,,True
111,浙江大学,浙江,True,True,True,True
112,海军军医大学,,,,,True
113,海南大学,海南,True,,,True
114,清华大学,北京,True,True,True,True
115,湖南大学,湖南,True,True,,True
116,湖南师范大学,湖南,True,,,True
117,电子科技大学,四川,True,True,,True
118,石河子大学,新疆,True,,,True
119,福州大学,福建,True,,,True
120,空军军医大学,,,,,True
121,第二军医大学,上海,True,,,
122,第四军医大学,陕西,True,,,
123,苏州大学,江苏,True,,,True
124,西北农林科技大学,陕西,True,True,,True
125,西北大学,陕西,True,,,True
126,西北工业大学,陕西,True,True,,True
127,西南交通大学,四川,True,,,True
128,西南大学,重庆,True,,,True
129,西南石油大学,,,,,True
130,西南财经大学,四川,True,,,True
131,西安交通大学,陕西,True,True,True,True
132,西安电子科技大学,陕西,True,,,True
133,西藏大学,西藏,True,,,True
134,贵州大学,贵州,True,,,True
135,辽宁大学,辽宁,True,,,True
136,郑州大学,河南,True,,,True
137,重庆大学,重庆,True,True,,True
138,长安大学,陕西,True,,,True
139,陕西师范大学,陕西,True,,,True
140,青海大学,青海,True,,,True
141,首都师范大学,,,,,True
