,双一流院校
1,北京大学
2,清华大学
3,中国科学院大学
4,复旦大学
5,中国人民大学
6,浙江大学
7,上海交通大学
8,南京大学
9,武汉大学
10,中山大学
11,吉林大学
12,华中科技大学
13,天津大学
14,四川大学
15,中国科学技术大学
16,南开大学
17,北京师范大学
18,西安交通大学
19,哈尔滨工业大学
20,山东大学
21,中南大学
22,厦门大学
23,同济大学
24,东南大学
25,北京航空航天大学
26,东北大学
27,西北工业大学
28,华东师范大学
29,北京理工大学
30,华南理工大学
31,大连理工大学
32,湖南大学
33,重庆大学
34,中国农业大学
35,兰州大学
36,华中师范大学
37,电子科技大学
38,西南大学
39,河海大学
40,武汉理工大学
41,西南交通大学
42,北京科技大学
43,华中农业大学
44,北京交通大学
45,西北大学
46,郑州大学
47,南京农业大学
48,华东理工大学
49,苏州大学
50,南京理工大学
51,西安电子科技大学
52,东北师范大学
53,南京师范大学
54,中国海洋大学
55,中国地质大学（武汉）
56,西北农林科技大学
57,南京航空航天大学
58,北京邮电大学
59,湖南师范大学
60,上海大学
61,暨南大学
62,合肥工业大学
63,哈尔滨工程大学
64,南昌大学
65,陕西师范大学
66,华南师范大学
67,东华大学
68,中南财经政法大学
69,云南大学
70,北京协和医学院
71,上海财经大学
72,福州大学
73,中国矿业大学
74,中国政法大学
75,江南大学
76,北京化工大学
77,中国石油大学（华东）
78,河南大学
79,宁波大学
80,首都师范大学
81,广西大学
82,长安大学
83,北京工业大学
84,对外经济贸易大学
85,中央民族大学
86,西南财经大学
87,太原理工大学
88,安徽大学
89,北京林业大学
90,辽宁大学
91,贵州大学
92,新疆大学
93,内蒙古大学
94,中央财经大学
95,东北林业大学
96,中国石油大学（北京）
97,华北电力大学
98,东北农业大学
99,南京邮电大学
100,四川农业大学
101,大连海事大学
102,海南大学
103,河北工业大学
104,中国药科大学
105,天津医科大学
106,北京中医药大学
107,天津工业大学
108,上海中医药大学
109,成都理工大学
110,南京信息工程大学
111,南京林业大学
112,中国地质大学（北京）
113,延边大学
114,石河子大学
115,南京中医药大学
116,宁夏大学
117,西南石油大学
118,广州中医药大学
119,成都中医药大学
120,天津中医药大学
121,上海海洋大学
122,中国矿业大学（北京）
123,青海大学
124,西藏大学
125,国防科技大学
126,中国传媒大学
127,中国人民公安大学
128,中央美术学院
129,北京体育大学
130,外交学院
131,北京外国语大学
132,海军军医大学
133,空军军医大学
134,中央戏剧学院
135,中央音乐学院
136,中国音乐学院
137,中国美术学院
138,上海体育学院
139,上海外国语大学
140,上海音乐学院
